parameter,params_init,params_min,params_max
massx_nd, 0.0467,0.04203, 0.05137
massy_nd, 0.2579, 0.23211, 0.28369
IzzJzz_nd,0.0286, 0.02574, 0.03146
xuu_nd,-0.02139,-0.1,0
xvr_nd,0.4535,0,1
yv_nd,-0.3728,-1,0
yr_nd,0.116,-0.5,0.5
nv_nd,-0.1458,-0.5,0.5
nr_nd,-0.04849,-1,0
coeff_drag_sway,0.9665,0.5,1.5
cry_cross_flow,2.217,1,3
crn_cross_flow,0.8097,0.5,1.5
coeff_drag_fore,-0.02139,-0.1,0
coeff_drag_aft,-0.03189,-0.1,0
kt_coeff0,0.3278,-1,1
kt_coeff1,-0.3323,-1,1
kt_coeff2,-0.156,-1,1
t_prop,0.22,0.01,0.99
w_prop_zero,0.614,0.01,0.99
tau_prop,0.871,0,1
coeff_cp_prop,-0.359,-1,0
xp_prop_nd,-0.517,-1,0
ai_coeff_prop0,-7.90E-05,-0.01,0.01
ai_coeff_prop1,7.99E-03,-0.01,0.01
ai_coeff_prop2,-4.93E-03,-0.01,0.01
ai_coeff_prop3,-5.87E-03,-0.01,0.01
ai_coeff_prop4,-5.58E-04,-0.01,0.01
ai_coeff_prop5,5.08E-03,-0.01,0.01
ai_coeff_prop6,1.70E-03,-0.01,0.01
ai_coeff_prop7,9.16E-04,-0.01,0.01
bi_coeff_prop0,3.50E-05,-0.01,0.01
bi_coeff_prop1,-3.17E-03,-0.01,0.01
bi_coeff_prop2,1.96E-03,-0.01,0.01
bi_coeff_prop3,2.33E-03,-0.01,0.01
bi_coeff_prop4,2.25E-04,-0.01,0.01
bi_coeff_prop5,-2.16E-03,-0.01,0.01
bi_coeff_prop6,6.27E-05,-0.01,0.01
bi_coeff_prop7,6.25E-05,-0.01,0.01
ci_coeff_prop0,-0.251,-1,0
ci_coeff_prop1,-0.175,-1,0
ci_coeff_prop2,0.33,0,1
ci_coeff_prop3,-0.233,-1,0
Jmin,-0.5,-1,1
alpha_prop,1.5,0,2
t_rudder,0.19,0,1
ah_rudder,0.393,0,1
xh_rudder_nd,-0.45,-1,0
lr_rudder_nd,-1.08,0.5,1.5
kx_rudder,0.288,0,1
kx_rudder_reverse,0.144,0,1
epsilon_rudder,1.42,0.5,1.5
cpr_rudder,-0.176,-1,0
gammaN_rudder,0.4406,0,1
gammaP_rudder,0.3506,0,1
coeff_urudder_zero,0.14,0,1
